#,Name,NameYear,Season,Team,Position,Snaps,Overall,Rush,Cov.,Run,Pen.,# of Pen,QB Sk,QB Ht,QB Hu,Tks,Ass,MT,St,TA,Rec,% Ct,Yds,Avg,YAC,LG,TD,In,PD,NFL Rating
76.0, Tracy Porter, Tracy Porter2008,2008.0,NO,CB,331.0,0.9,-0.1,1.0,-1.5,1.5,0-0,1.0,0.0,0.0,23.0,1.0,3.0,7.0,41.0,27.0,65.9,357.0,13.2,144.0,67.0,2.0,1.0,3.0,99.3
76.0, Dominique Rodgers-Cromartie, Dominique Rodgers-Cromartie2008,2008.0,ARZ,CB,822.0,0.9,0.0,5.3,-5.2,0.8,41334.0,0.0,0.0,0.0,38.0,2.0,7.0,8.0,79.0,46.0,58.2,595.0,12.9,249.0,87.0,7.0,4.0,9.0,90.4
79.0, Michael Adams, Michael Adams2008,2008.0,ARZ,CB,30.0,0.8,-0.1,0.8,0.0,0.1,0-0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,100.0,-2.0,-2.0,1.0,0.0,0.0,0.0,1.0,79.2
79.0, Jason Webster, Jason Webster2008,2008.0,NE,CB,42.0,0.8,0.0,0.6,0.0,0.2,0-0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,5.0,4.0,80.0,24.0,6.0,17.0,9.0,0.0,0.0,0.0,86.7
79.0, Terrence Wheatley, Terrence Wheatley2008,2008.0,NE,CB,79.0,0.8,0.0,1.0,-0.5,0.3,0-0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,2.0,33.3,72.0,36.0,35.0,59.0,0.0,0.0,2.0,79.9
79.0, Quentin Jammer, Quentin Jammer2008,2008.0,SD,CB,1048.0,0.8,0.0,2.3,-2.1,0.6,41365.0,0.0,0.0,0.0,73.0,6.0,9.0,21.0,98.0,62.0,63.3,642.0,10.4,197.0,38.0,5.0,2.0,15.0,90.6
83.0, Trumaine McBride, Trumaine McBride2008,2008.0,CHI,CB,94.0,0.7,0.0,1.7,0.6,-1.6,36557.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,11.0,4.0,36.4,59.0,14.8,21.0,34.0,1.0,1.0,1.0,47.2
83.0, Adam Jones, Adam Jones2008,2008.0,DAL,CB,405.0,0.7,0.0,0.2,0.6,-0.1,36557.0,0.0,0.0,0.0,28.0,1.0,2.0,9.0,55.0,29.0,52.7,369.0,12.7,99.0,60.0,1.0,0.0,5.0,80.0
85.0, Josh Wilson, Josh Wilson2008,2008.0,SEA,CB,900.0,0.6,2.5,-2.0,2.5,-2.4,41458.0,1.0,0.0,7.0,69.0,2.0,4.0,20.0,96.0,67.0,69.8,835.0,12.5,307.0,41.0,4.0,4.0,6.0,93.0
86.0, Paul Oliver, Paul Oliver2008,2008.0,SD,CB,1.0,0.5,0.0,0.0,0.5,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.0, Marcus Hamilton, Marcus Hamilton2008,2008.0,CHI,CB,30.0,0.5,0.0,0.3,0.1,0.1,0-0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,100.0,23.0,7.7,9.0,15.0,1.0,0.0,0.0,138.2
86.0, David Macklin, David Macklin2008,2008.0,KC,CB,28.0,0.5,0.0,0.3,0.0,0.2,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6
89.0, Joselio Hanson, Joselio Hanson2008,2008.0,PHI,CB,407.0,0.4,-1.4,2.2,-0.1,-0.3,36557.0,1.0,1.0,1.0,21.0,3.0,1.0,7.0,34.0,21.0,61.8,204.0,9.7,107.0,26.0,1.0,1.0,1.0,76.1
89.0, Justin Tryon, Justin Tryon2008,2008.0,WAS,CB,20.0,0.4,0.0,0.4,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,8.0,8.0,3.0,8.0,0.0,0.0,0.0,100.0
89.0, Dexter Wynn, Dexter Wynn2008,2008.0,DET,CB,19.0,0.4,0.0,0.3,0.0,0.1,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6
92.0, Justin Miller, Justin Miller2008,2008.0,OAK,CB,40.0,0.3,0.0,0.7,-0.5,0.1,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,20.0,58.0,58.0,29.0,58.0,1.0,0.0,1.0,115.0
92.0, Tyrone Carter, Tyrone Carter2008,2008.0,PIT,CB,15.0,0.3,0.0,0.2,0.0,0.1,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92.0, Reggie Smith, Reggie Smith2008,2008.0,SF,CB,16.0,0.3,0.0,0.2,0.0,0.1,0-0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,50.0,5.0,2.5,1.0,4.0,0.0,0.0,0.0,56.3
92.0, Pierson Prioleau, Pierson Prioleau2008,2008.0,JAX,CB,19.0,0.3,0.9,-0.7,0.0,0.1,0-0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96.0, Ty Law, Ty Law2008,2008.0,NYJ,CB,404.0,0.2,0.3,0.3,0.8,-1.2,41334.0,0.0,0.0,0.0,13.0,2.0,1.0,1.0,26.0,18.0,69.2,243.0,13.5,92.0,44.0,1.0,0.0,2.0,111.5
96.0, Will Allen, Will Allen2008,2008.0,TB,CB,14.0,0.2,0.0,0.2,0.0,0.0,0-0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6
96.0, Shawntae Spencer, Shawntae Spencer2008,2008.0,SF,CB,35.0,0.2,0.0,0.0,0.0,0.2,0-0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,100.0,54.0,18.0,10.0,40.0,0.0,0.0,0.0,118.8
99.0, Geoffrey Pope, Geoffrey Pope2008,2008.0,CIN,CB,9.0,0.1,0.0,0.1,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.0, Eric Bassey, Eric Bassey2008,2008.0,SL,CB,10.0,0.1,0.0,0.1,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.0, C.J.C Wilson, C.J.C Wilson2008,2008.0,CAR,CB,8.0,0.1,0.0,0.1,0.0,0.0,0-0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,66.7,26.0,13.0,5.0,20.0,0.0,0.0,1.0,93.7
99.0, Quintin Demps, Quintin Demps2008,2008.0,PHI,CB,3.0,0.1,0.0,0.1,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.0, Melvin Bullitt, Melvin Bullitt2008,2008.0,IND,CB,1.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.0, Mike Green, Mike Green2008,2008.0,WAS,CB,2.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.0, Brandon Harrison, Brandon Harrison2008,2008.0,HST,CB,1.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.0, Michael Huff, Michael Huff2008,2008.0,OAK,CB,28.0,0.0,-0.1,0.5,-0.5,0.1,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6
103.0, Travis Daniels, Travis Daniels2008,2008.0,CLV,CB,3.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.0, Scott Starks, Scott Starks2008,2008.0,JAX,CB,1.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
