#,Name,NameYear,Year,Team,Position,Snaps,Overall,Rush,Cov.,Run,Pen.,# of Pen,QB Sk,QB Ht,QB Hu,Tks,Ass,MT,St,TA,Rec,% Ct,Yds,Avg,YAC,LG,TD,In,PD,NFL Rating,
59.0,Dan Connor,Dan Connor2011,2011.0,CAR,ILB,477.0,-0.4,-0.8,-2.5,3.2,-0.3,36526.0,0.0,0.0,3.0,56.0,10.0,5.0,33.0,12.0,10.0,83.3,116.0,11.6,88.0,20.0,0.0,0.0,0.0,106.9,
61.0,Bront Bird,Bront Bird2011,2011.0,SD,ILB,29.0,-0.6,-0.1,-0.1,-0.4,0.0,0-0,0.0,0.0,0.0,6.0,0.0,1.0,4.0,7.0,5.0,71.4,80.0,16.0,71.0,48.0,0.0,0.0,1.0,109.2,
61.0,Tim Dobbins,Tim Dobbins2011,2011.0,HST,ILB,60.0,-0.6,-0.1,0.7,-1.2,0.0,0-0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,4.0,1.0,25.0,4.0,4.0,7.0,4.0,0.0,0.0,1.0,39.6,
61.0,Robert Francois,Robert Francois2011,2011.0,GB,ILB,166.0,-0.6,-1.6,2.4,-1.6,0.2,0-0,0.0,0.0,0.0,14.0,2.0,4.0,5.0,15.0,10.0,66.7,96.0,9.6,42.0,17.0,0.0,2.0,1.0,44.7,
61.0,Dane Fletcher,Dane Fletcher2011,2011.0,NE,ILB,289.0,-0.6,2.1,-3.9,0.8,0.4,0-0,0.0,4.0,3.0,26.0,8.0,6.0,13.0,19.0,15.0,78.9,156.0,10.4,69.0,22.0,1.0,0.0,0.0,118.4,
65.0,Stephen Cooper,Stephen Cooper2011,2011.0,SD,ILB,11.0,-0.8,0.0,0.1,-0.9,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,4.0,4.0,8.0,4.0,0.0,0.0,0.0,83.3,
66.0,Spencer Paysinger,Spencer Paysinger2011,2011.0,NYG,ILB,19.0,-0.9,-0.2,0.6,-1.3,0.0,0-0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
67.0,Stevenson Sylvester,Stevenson Sylvester2011,2011.0,PIT,ILB,37.0,-1.0,-0.1,-0.2,-0.7,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,95.8,
68.0,Niko Koutouvides,Niko Koutouvides2011,2011.0,NE,ILB,33.0,-1.1,-0.1,-0.3,-0.7,0.0,0-0,0.0,0.0,0.0,5.0,0.0,2.0,2.0,2.0,2.0,100.0,26.0,13.0,17.0,20.0,0.0,0.0,0.0,118.8,
69.0,Jordan Senn,Jordan Senn2011,2011.0,CAR,ILB,59.0,-1.3,-0.2,-0.2,-1.0,0.1,0-0,0.0,0.0,1.0,6.0,1.0,0.0,3.0,1.0,1.0,100.0,9.0,9.0,4.0,9.0,0.0,0.0,0.0,104.2,
70.0,Darryl Sharpton,Darryl Sharpton2011,2011.0,HST,ILB,55.0,-1.4,-0.1,-1.6,0.3,0.0,0-0,0.0,0.0,0.0,7.0,1.0,1.0,3.0,6.0,6.0,100.0,55.0,9.2,31.0,22.0,0.0,0.0,0.0,104.9,
71.0,Greg Jones,Greg Jones2011,2011.0,NYG,ILB,202.0,-1.5,-0.7,-1.9,0.9,0.2,0-0,0.0,0.0,0.0,21.0,3.0,3.0,8.0,3.0,2.0,66.7,46.0,23.0,34.0,31.0,1.0,0.0,0.0,149.3,
72.0,Mark Herzlich,Mark Herzlich2011,2011.0,NYG,ILB,75.0,-1.6,0.3,-2.0,0.0,0.1,0-0,0.0,1.0,2.0,5.0,1.0,0.0,3.0,5.0,4.0,80.0,79.0,19.8,30.0,29.0,0.0,0.0,1.0,118.8,
72.0,Rolando McClain,Rolando McClain2011,2011.0,OAK,ILB,1038.0,-1.6,4.5,-8.1,3.6,-1.6,41334.0,5.0,5.0,10.0,77.0,13.0,9.0,43.0,78.0,56.0,71.8,569.0,10.2,354.0,56.0,3.0,0.0,8.0,105.1,
74.0,Chase Blackburn,Chase Blackburn2011,2011.0,NYG,ILB,204.0,-1.8,-0.7,-0.5,-0.9,0.3,0-0,0.0,0.0,0.0,17.0,6.0,1.0,9.0,15.0,8.0,53.3,73.0,9.1,50.0,17.0,0.0,1.0,0.0,39.0,
75.0,Ernie Sims,Ernie Sims2011,2011.0,IND,ILB,21.0,-2.0,-0.3,-0.8,-0.9,0.0,0-0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,9.0,9.0,10.0,9.0,0.0,0.0,0.0,104.2,
75.0,E.J. Henderson,E.J. Henderson2011,2011.0,MIN,ILB,895.0,-2.0,-4.1,-10.0,11.8,0.3,36526.0,2.0,2.0,2.0,95.0,16.0,10.0,50.0,46.0,38.0,82.6,372.0,9.8,201.0,27.0,2.0,0.0,1.0,114.9,
77.0,Bruce Carter,Bruce Carter2011,2011.0,DAL,ILB,41.0,-2.1,-0.7,0.4,-1.8,0.0,0-0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,2.0,50.0,17.0,8.5,24.0,13.0,0.0,0.0,1.0,61.5,
78.0,David Harris,David Harris2011,2011.0,NYJ,ILB,980.0,-2.3,-3.3,8.4,-9.0,1.6,0-0,4.0,7.0,4.0,69.0,15.0,6.0,39.0,41.0,26.0,63.4,303.0,11.7,257.0,73.0,0.0,4.0,6.0,46.1,
78.0,Lawrence Timmons,Lawrence Timmons2011,2011.0,PIT,ILB,735.0,-2.3,-2.8,2.1,-1.8,0.2,36526.0,2.0,3.0,7.0,62.0,11.0,6.0,35.0,28.0,21.0,75.0,223.0,10.6,144.0,33.0,2.0,1.0,3.0,106.7,
80.0,Andra Davis,Andra Davis2011,2011.0,BUF,ILB,85.0,-2.5,0.9,-1.6,-1.9,0.1,0-0,0.0,0.0,1.0,6.0,4.0,0.0,4.0,3.0,2.0,66.7,39.0,19.5,29.0,22.0,0.0,0.0,0.0,109.7,
81.0,Jon Beason,Jon Beason2011,2011.0,CAR,ILB,38.0,-2.6,-0.3,-1.2,-1.2,0.1,0-0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,2.0,100.0,17.0,8.5,7.0,20.0,0.0,0.0,0.0,102.1,
81.0,Colin McCarthy,Colin McCarthy2011,2011.0,TEN,ILB,542.0,-2.6,0.0,2.5,-4.9,-0.2,36526.0,0.0,2.0,2.0,56.0,7.0,9.0,33.0,36.0,25.0,69.4,271.0,10.8,124.0,35.0,1.0,1.0,2.0,89.0,
83.0,Jerod Mayo,Jerod Mayo2011,2011.0,NE,ILB,73.0,-2.7,0.1,0.8,-3.7,0.1,0-0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,6.0,3.0,50.0,63.0,21.0,12.0,38.0,0.0,0.0,0.0,87.5,
84.0,Jacquian Williams,Jacquian Williams2011,2011.0,NYG,ILB,318.0,-3.7,-1.2,-1.8,-1.1,0.4,0-0,0.0,1.0,3.0,33.0,4.0,3.0,14.0,27.0,22.0,81.5,197.0,9.0,123.0,20.0,0.0,0.0,2.0,97.1,
84.0,James Laurinaitis,James Laurinaitis2011,2011.0,SL,ILB,1106.0,-3.7,-1.9,6.6,-10.0,1.6,0-0,3.0,3.0,6.0,106.0,32.0,4.0,55.0,60.0,43.0,71.7,434.0,10.1,291.0,35.0,4.0,2.0,4.0,100.3,
86.0,Reggie Walker,Reggie Walker2011,2011.0,ARZ,ILB,77.0,-3.8,-1.4,-0.9,-1.6,0.1,0-0,0.0,0.0,1.0,5.0,2.0,0.0,2.0,5.0,3.0,60.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,104.2,
