#,Name,NameYear,Year,Team,Position,Snaps,Overall,Rush,Cov.,Run,Pen.,# of Pen,QB Sk,QB Ht,QB Hu,BP,Tks,Ass,MT,St
26.0,Darren Howard,Darren Howard2008,2008,PHI,DT,56.0,5.9,5.4,0.0,0.3,0.2,0-0,2.0,1.0,7.0,0.0,1.0,0.0,0.0,2.0
27.0,Amobi Okoye,Amobi Okoye2008,2008,HST,DT,631.0,5.6,11.3,1.0,-8.3,1.6,36526.0,1.0,3.0,25.0,1.0,16.0,4.0,2.0,14.0
28.0,Tommie Harris,Tommie Harris2008,2008,CHI,DT,645.0,5.4,7.2,1.0,-2.0,-0.8,41334.0,6.0,9.0,13.0,0.0,28.0,2.0,0.0,24.0
29.0,Israel Idonije,Israel Idonije2008,2008,CHI,DT,492.0,5.1,8.5,2.0,-6.2,0.8,41275.0,4.0,6.0,12.0,7.0,20.0,1.0,0.0,18.0
30.0,Justin Bannan,Justin Bannan2008,2008,BLT,DT,497.0,4.8,-2.6,0.5,8.2,-1.3,36586.0,1.0,3.0,5.0,2.0,32.0,5.0,2.0,23.0
31.0,Fred Robbins,Fred Robbins2008,2008,NYG,DT,627.0,4.6,4.5,-0.5,6.0,-5.4,41488.0,5.0,5.0,13.0,3.0,23.0,7.0,2.0,24.0
32.0,Jonathan Babineaux,Jonathan Babineaux2008,2008,ATL,DT,901.0,4.1,9.0,0.0,-8.1,3.2,0-0,4.0,11.0,21.0,2.0,29.0,3.0,3.0,25.0
33.0,Jason Hunter,Jason Hunter2008,2008,GB,DT,44.0,4.0,3.9,0.0,0.0,0.1,0-0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0
34.0,Mike Patterson,Mike Patterson2008,2008,PHI,DT,701.0,3.9,-7.2,0.5,9.8,0.8,36557.0,1.0,2.0,6.0,0.0,35.0,5.0,2.0,27.0
35.0,Ahtyba Rubin,Ahtyba Rubin2008,2008,CLV,DT,119.0,3.8,0.7,0.0,2.7,0.4,0-0,0.0,0.0,2.0,0.0,10.0,3.0,0.0,6.0
36.0,Red Bryant,Red Bryant2008,2008,SEA,DT,71.0,3.7,0.1,0.0,3.3,0.3,0-0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,6.0
37.0,Brandon McKinney,Brandon McKinney2008,2008,BLT,DT,129.0,3.6,-1.3,1.0,3.6,0.3,0-0,0.0,0.0,1.0,0.0,12.0,0.0,1.0,10.0
38.0,Tony Brown,Tony Brown2008,2008,TEN,DT,767.0,3.3,15.5,3.5,-4.7,-11.0,14-2,4.0,10.0,24.0,5.0,27.0,6.0,1.0,28.0
38.0,Dan Klecko,Dan Klecko2008,2008,PHI,DT,98.0,3.3,3.1,-1.0,0.7,0.5,0-0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0
38.0,Dave Tollefson,Dave Tollefson2008,2008,NYG,DT,74.0,3.3,2.2,0.5,0.3,0.3,0-0,1.0,3.0,3.0,0.0,3.0,0.0,0.0,4.0
41.0,Juqua Parker,Juqua Parker2008,2008,PHI,DT,52.0,2.8,1.8,0.0,0.8,0.2,0-0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,1.0
41.0,Terdell Sands,Terdell Sands2008,2008,OAK,DT,483.0,2.8,2.7,0.5,-2.3,1.9,0-0,2.0,2.0,6.0,2.0,16.0,4.0,2.0,15.0
43.0,Colin Cole,Colin Cole2008,2008,GB,DT,458.0,2.7,8.2,-0.5,-5.8,0.8,41306.0,1.0,2.0,14.0,4.0,20.0,5.0,3.0,15.0
43.0,Derek Landri,Derek Landri2008,2008,JAX,DT,332.0,2.7,2.3,0.5,-0.5,0.4,36526.0,2.0,2.0,10.0,0.0,7.0,4.0,0.0,7.0
45.0,Gabe Watson,Gabe Watson2008,2008,ARZ,DT,284.0,2.4,-1.9,0.5,2.6,1.2,0-0,1.0,1.0,2.0,0.0,14.0,4.0,0.0,12.0
46.0,John N. Henderson,John N. Henderson2008,2008,JAX,DT,532.0,2.3,-3.3,0.5,6.0,-0.9,41307.0,2.0,3.0,5.0,2.0,36.0,3.0,3.0,31.0
47.0,Trevor Laws,Trevor Laws2008,2008,PHI,DT,193.0,1.8,-3.1,0.5,3.6,0.8,0-0,0.0,0.0,2.0,0.0,11.0,1.0,0.0,11.0
48.0,Fred Wakefield,Fred Wakefield2008,2008,OAK,DT,11.0,1.6,1.7,0.0,-0.1,0.0,0-0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
49.0,Remi Ayodele,Remi Ayodele2008,2008,NO,DT,82.0,1.5,1.1,0.0,0.1,0.3,0-0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0
49.0,Gary Gibson,Gary Gibson2008,2008,CAR,DT,172.0,1.5,0.4,0.0,0.4,0.7,0-0,0.0,0.0,5.0,0.0,7.0,1.0,1.0,5.0
51.0,Brian Robison,Brian Robison2008,2008,MIN,DT,4.0,1.4,0.9,0.0,0.5,0.0,0-0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
