#,Name,NameYear,Year,Team,Position,Snaps,Overall,Pass,Run,Blocking,Penalty,# of Pen,Att.,Yds,Avg.,YCo,YCo / Att.,LG,TD,MT,Fu
22,Arian Foster,Arian Foster2009,2009,HST,HB,127,1.4,-0.5,2.2,-0.4,0.1,0-0,54,257,4.8,136,2.5,24,3,3,0
23,Lynell Hamilton,Lynell Hamilton2009,2009,NO,HB,62,1.1,0.7,0.3,0.1,0,0-0,35,125,3.6,100,2.9,19,2,2,0
24,Michael Turner,Michael Turner2009,2009,ATL,HB,347,0.9,-1.1,-0.4,2.4,0,0-0,178,875,4.9,594,3.3,58,10,27,4
25,Kevin Faulk,Kevin Faulk2009,2009,NE,HB,445,0.8,-0.5,0.8,1.5,-1,Jan-00,62,335,5.4,183,3,29,2,4,0
26,Chad Simpson,Chad Simpson2009,2009,IND,HB,51,0.7,-0.4,0.8,0.3,0,0-0,15,102,6.8,56,3.7,31,2,4,0
27,Xavier Omon,Xavier Omon2009,2009,BUF,HB,12,0.5,-0.1,0.5,0.1,0,0-0,5,22,4.4,17,3.4,7,0,0,0
27,Verron Haynes,Verron Haynes2009,2009,ATL,HB,66,0.5,-0.5,0,1,0,0-0,0,0,0,0,0,0,0,0,0
29,Tashard Choice,Tashard Choice2009,2009,DAL,HB,281,0.2,-0.6,1.7,-1.1,0.2,0-0,64,349,5.5,124,1.9,66,3,3,0
29,Jackie Battle,Jackie Battle2009,2009,KC,HB,21,0.2,-0.1,0.2,0.1,0,0-0,7,21,3,23,3.3,12,0,0,0
29,Rashad Jennings,Rashad Jennings2009,2009,JAX,HB,170,0.2,0,-0.6,0.8,0,0-0,39,202,5.2,109,2.8,28,1,4,0
29,Peyton Hillis,Peyton Hillis2009,2009,DEN,HB,11,0.2,0,0.2,0,0,0-0,7,47,6.7,37,5.3,13,0,1,0
33,Gary Russell,Gary Russell2009,2009,OAK,HB,10,0.1,0.4,-0.4,0.1,0,0-0,2,-2,-1,3,1.5,0,0,0,0
33,Ronnie Brown,Ronnie Brown2009,2009,MIA,HB,392,0.1,0.3,-2.1,1.7,0.2,0-0,147,648,4.4,444,3,45,8,29,1
33,Rock Cartwright,Rock Cartwright2009,2009,WAS,HB,241,0.1,4.6,-3.9,-0.6,0,0-0,64,228,3.6,152,2.4,34,0,3,0
33,Patrick Cobbs,Patrick Cobbs2009,2009,MIA,HB,65,0.1,0.6,-0.2,-0.3,0,0-0,6,36,6,23,3.8,19,0,1,0
37,Sam Hurd,Sam Hurd2009,2009,DAL,HB,3,0,0,0,0,0,0-0,0,0,0,0,0,0,0,0,0
37,Eric Weems,Eric Weems2009,2009,ATL,HB,7,0,0,0,0,0,0-0,0,0,0,0,0,0,0,0,0
37,Quinton Ganther,Quinton Ganther2009,2009,WAS,HB,180,0,0.3,0.4,-0.7,0,0-0,62,199,3.2,160,2.6,13,3,10,0
37,Brett Swain,Brett Swain2009,2009,GB,HB,3,0,0,0,0,0,0-0,0,0,0,0,0,0,0,0,0
37,Cody Glenn,Cody Glenn2009,2009,IND,HB,2,0,0,0,0,0,0-0,0,0,0,0,0,0,0,0,0
37,Sean Morey,Sean Morey2009,2009,ARZ,HB,2,0,0,0,0,0,0-0,0,0,0,0,0,0,0,0,0
43,Lex Hilliard,Lex Hilliard2009,2009,MIA,HB,169,-0.1,2,0.5,-2.6,0,0-0,23,89,3.9,67,2.9,18,1,8,0
43,Michael Robinson,Michael Robinson2009,2009,SF,HB,49,-0.1,-1.1,0.1,0.9,0,0-0,2,3,1.5,7,3.5,4,0,0,0
43,Aaron Stecker,Aaron Stecker2009,2009,ATL,HB,29,-0.1,0.2,-0.5,0.2,0,0-0,5,15,3,6,1.2,6,0,0,0
46,Aaron Brown,Aaron Brown2009,2009,DET,HB,113,-0.2,1,0.2,-1.4,0,0-0,26,143,5.5,78,3,19,0,2,0
46,Kory Sheets,Kory Sheets2009,2009,MIA,HB,1,-0.2,0,-0.2,0,0,0-0,1,5,5,3,3,5,0,0,0
46,Chris Ogbonnaya,Chris Ogbonnaya2009,2009,SL,HB,49,-0.2,0.2,-0.6,0.2,0,0-0,11,50,4.5,30,2.7,18,0,2,0
49,Ahmad Bradshaw,Ahmad Bradshaw2009,2009,NYG,HB,449,-0.4,-3.2,-0.3,4.9,-1.8,Feb-00,163,777,4.8,480,2.9,38,7,23,3
49,Carey Davis,Carey Davis2009,2009,PIT,HB,4,-0.4,0,0.1,-0.5,0,0-0,2,15,7.5,11,5.5,14,0,0,0
49,Mewelde Moore,Mewelde Moore2009,2009,PIT,HB,297,-0.4,2.7,-2.5,0.4,-1,Jan-00,35,118,3.4,86,2.5,15,0,0,0
52,Kevin Smith,Kevin Smith2009,2009,DET,HB,628,-0.5,2.7,-5.5,2.7,-0.4,Jan-00,217,747,3.4,495,2.3,31,4,17,3
52,Javon Ringer,Javon Ringer2009,2009,TEN,HB,12,-0.5,0,-0.5,0,0,0-0,8,48,6,39,4.9,32,0,2,0
52,Chris Jennings,Chris Jennings2009,2009,CLV,HB,127,-0.5,-0.3,-0.6,0.4,0,0-0,63,220,3.5,167,2.7,16,1,10,0
55,Michael A. Bennett,Michael A. Bennett2009,2009,SD,HB,64,-0.6,0.5,-1.9,0.8,0,0-0,23,65,2.8,49,2.1,14,0,0,0
56,Mike Hart,Mike Hart2009,2009,IND,HB,84,-0.7,0.8,-1.5,0,0,0-0,26,70,2.7,60,2.3,15,1,3,0
57,Matt Lawrence,Matt Lawrence2009,2009,BLT,HB,8,-0.8,0,-0.8,0,0,0-0,4,0,0,4,1,4,0,0,0
57,Leon Washington,Leon Washington2009,2009,NYJ,HB,205,-0.8,-1.2,-0.3,0.7,0,0-0,71,330,4.6,210,3,33,1,6,1
57,Clifton Smith,Clifton Smith2009,2009,TB,HB,27,-0.8,-0.4,-0.1,-0.3,0,0-0,3,7,2.3,3,1,4,0,0,1
60,LaRod Stephens-Howling,LaRod Stephens-Howling2009,2009,ARZ,HB,74,-0.9,-0.9,-0.2,0.2,0,0-0,6,15,2.5,16,2.7,5,0,2,0
60,Jalen Parmele,Jalen Parmele2009,2009,BLT,HB,14,-0.9,0,-0.9,0,0,0-0,5,17,3.4,13,2.6,7,0,0,0
60,Eldra Buckley,Eldra Buckley2009,2009,PHI,HB,27,-0.9,0,-1.1,0.2,0,0-0,15,44,2.9,36,2.4,9,1,0,0
63,Tyrell Sutton,Tyrell Sutton2009,2009,CAR,HB,62,-1,0.2,-0.2,-1,0,0-0,9,53,5.9,33,3.7,20,0,2,0
63,Ahman Green,Ahman Green2009,2009,GB,HB,78,-1,-0.5,-0.7,0.2,0,0-0,41,160,3.9,119,2.9,26,1,5,0
65,Montell Owens,Montell Owens2009,2009,JAX,HB,6,-1.3,-1,-0.4,0.1,0,0-0,2,1,0.5,1,0.5,3,0,0,0
65,Albert Young,Albert Young2009,2009,MIN,HB,27,-1.3,-0.1,-1.3,0.1,0,0-0,12,53,4.4,30,2.5,10,0,0,0
67,Beanie Wells,Beanie Wells2009,2009,ARZ,HB,317,-1.4,1.6,1.7,-3.7,-1,Jan-00,176,821,4.7,544,3.1,34,7,24,5
68,Danny Woodhead,Danny Woodhead2009,2009,NYJ,HB,81,-1.5,0.8,-1.6,-0.7,0,0-0,15,64,4.3,44,2.9,16,0,1,0
69,Adrian Peterson,Adrian Peterson2009,2009,CHI,HB,41,-1.6,-0.8,-0.4,-0.4,0,0-0,7,51,7.3,18,2.6,15,0,0,0
69,Earnest Graham,Earnest Graham2009,2009,TB,HB,72,-1.6,-1.6,-1.1,1.1,0,0-0,9,25,2.8,24,2.7,13,0,1,0
69,Kolby Smith,Kolby Smith2009,2009,KC,HB,42,-1.6,-0.3,-2.1,0.8,0,0-0,15,33,2.2,29,1.9,12,0,0,0
69,Fred Taylor,Fred Taylor2009,2009,NE,HB,136,-1.6,-0.8,-1.6,0.8,0,0-0,63,274,4.3,161,2.6,19,4,7,1
73,Danny Ware,Danny Ware2009,2009,NYG,HB,63,-1.7,-0.6,-2,0.9,0,0-0,13,73,5.6,34,2.6,14,1,1,1
74,Larry Johnson,Larry Johnson2009,2009,CIN,HB,79,-1.8,-0.7,-1.1,0,0,0-0,46,204,4.4,142,3.1,27,0,6,0
74,Brian Westbrook,Brian Westbrook2009,2009,PHI,HB,242,-1.8,-0.1,-1,-0.8,0.1,0-0,61,274,4.5,126,2.1,25,1,4,0
76,Michael Bush,Michael Bush2009,2009,OAK,HB,357,-1.9,-3.7,-3.3,5.1,0,0-0,123,591,4.8,423,3.4,60,3,13,1
77,Jerious Norwood,Jerious Norwood2009,2009,ATL,HB,294,-2.1,1.4,-2.8,-0.7,0,0-0,76,254,3.3,158,2.1,21,0,4,0
77,Louis Rankin,Louis Rankin2009,2009,SEA,HB,24,-2.1,-0.3,-2,0.2,0,0-0,8,36,4.5,17,2.1,12,0,1,1
79,Joseph Addai,Joseph Addai2009,2009,IND,HB,682,-2.2,-1,-5,3.5,0.3,0-0,219,828,3.8,491,2.2,21,10,13,2
80,James Davis,James Davis2009,2009,CLV,HB,28,-2.3,-0.3,-1.2,0.2,-1,Jan-00,9,15,1.7,13,1.4,5,0,0,0
81,Javarris Williams,Javarris Williams2009,2009,KC,HB,29,-2.4,-0.2,-1.2,-1,0,0-0,6,6,1,12,2,5,0,0,0
81,Marcus Mason,Marcus Mason2009,2009,WAS,HB,90,-2.4,0.2,-1.9,-0.7,0,0-0,32,127,4,97,3,20,0,2,0
81,Gartrell Johnson,Gartrell Johnson2009,2009,NYG,HB,27,-2.4,-0.7,-1.3,-0.4,0,0-0,13,43,3.3,35,2.7,11,0,0,0
81,Deshawn Wynn,Deshawn Wynn2009,2009,GB,HB,68,-2.4,-2.6,-0.2,0.4,0,0-0,6,19,3.2,16,2.7,6,0,1,0
85,Sam Gado,Sam Gado2009,2009,SL,HB,55,-2.5,0.1,-2.3,-0.3,0,0-0,14,26,1.9,25,1.8,11,0,0,0
86,DeAngelo Williams,DeAngelo Williams2009,2009,CAR,HB,500,-2.8,-1.2,0.4,-1.2,-0.8,Feb-00,216,1117,5.2,635,2.9,77,7,27,3
87,Adrian L. Peterson,Adrian L. Peterson2009,2009,MIN,HB,718,-2.9,-3.1,-0.9,1.6,-0.5,Jan-00,313,1388,4.4,913,2.9,64,18,50,5
87,Kahlil Bell,Kahlil Bell2009,2009,CHI,HB,93,-2.9,-1.6,-1.3,0,0,0-0,40,220,5.5,84,2.1,72,0,1,0
89,Garrett Wolfe,Garrett Wolfe2009,2009,CHI,HB,57,-3.1,-0.4,-1.7,-1,0,0-0,21,116,5.5,54,2.6,36,1,2,0
