Row,Name,NameYear,Team,Year,Snaps,Overall Grade,Pass Grade,Run Grade,Blocking Grade,Penalty Grade,Routes Run,Targets,Receptions,Catch%,Yards,Yards/Route,Yards / Reception,Yards After Catch,Yards After Catch / Reception,Long,Touchdowns,Interceptions,Dropped Passes,Missed Tackles Forced,Fumbles,WR Rating,Deep Targets,Deep Receptions,Deep Drops,Deep Yards,Deep Catchable,Deep TDs,Deep Target %,Deep Drop Rate,Deep Catch Rate,Slot Routes,Slot %,Slot Targets,Slot Target %,Slot Receptions,Slot Drops,Slot Yards,Slot YPRR,Slot TDs,Slot Drop Rate,Slot Catch Rate
888, Dante' Hall, Dante' Hall2008,SL,2008,147,-0.6,-1.4,0.1,0.4,0.3,98,18,12,66.7,105,1.04,8.8,18,1.5,20,0,1,1,0,0,56.5,0,0,0,0,0,0,0,0,0,82,83.7,14,17.1,9,1,90,1.1,0,10,64.3
889, David Anderson, David Anderson2008,HST,2008,276,-0.6,-0.5,0,2,-2.1,191,27,19,70.4,241,1.24,12.7,120,6.3,65,2,1,2,0,0,107.4,0,0,0,0,0,0,0,0,0,154,80.6,17,11,11,1,113,0.73,2,8.33,64.7
890, Dwayne Bowe, Dwayne Bowe2008,KC,2008,968,-0.6,-1.4,0,1.4,-0.6,610,155,86,55.5,1022,1.68,11.9,402,4.7,36,7,6,16,18,0,74.7,25,5,1,144,6,0,16.1,16.67,20,64,10.5,10,15.6,7,0,45,0.7,0,0,70
891, Jacoby Jones, Jacoby Jones2008,HST,2008,23,-0.6,0.6,-1.2,0,0,16,5,3,60,81,5.06,27,34,11.3,45,0,0,1,0,0,104.2,2,1,0,45,1,0,40,0,50,4,25,0,0,0,0,0,0,0,0,0
892, Jerome Simpson, Jerome Simpson2008,CIN,2008,13,-0.7,-0.7,0,0,0,8,3,1,33.3,2,0.25,2,3,3,2,0,1,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
893, Keary Colbert, Keary Colbert2008,DET,2008,128,-0.7,-2.1,0,1,0.4,86,9,5,55.6,64,0.74,12.8,34,6.8,28,0,0,1,2,0,78,0,0,0,0,0,0,0,0,0,43,50,4,9.3,2,1,16,0.37,0,33.33,50
894, Marvin Harrison, Marvin Harrison2008,IND,2008,913,-0.7,-2.3,0,1.1,0.5,555,100,60,60,636,1.15,10.6,175,2.9,67,5,4,6,2,1,79.4,24,3,2,120,5,1,24.2,40,12.5,31,5.6,3,9.7,3,0,24,0.77,0,0,100
895, Robert Meachem, Robert Meachem2008,NO,2008,300,-0.7,-1.5,0.3,0.7,-0.2,167,20,12,60,289,1.73,24.1,73,6.1,74,3,0,2,2,0,143.8,9,5,0,213,5,2,45,0,55.6,40,24,3,7.5,3,0,100,2.5,2,0,100
896, Brandon London, Brandon London2008,MIA,2008,121,-0.8,-0.3,0,0.2,-0.7,36,6,3,50,30,0.83,10,9,3,14,0,0,0,0,0,64.6,0,0,0,0,0,0,0,0,0,5,13.9,1,20,0,0,0,0,0,0,0
897, Kevin Curtis, Kevin Curtis2008,PHI,2008,449,-0.8,-0.9,0,-0.1,0.2,279,61,33,54.1,390,1.4,11.8,94,2.8,32,2,2,4,5,0,72.2,7,1,0,32,1,0,11.7,0,14.3,21,7.5,5,23.8,4,1,57,2.71,0,20,80
898, Matt Slater, Matt Slater2008,NE,2008,27,-0.8,-0.3,-0.5,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899, Reggie Brown, Reggie Brown2008,PHI,2008,271,-0.8,-2.5,0.3,1.6,-0.2,181,33,18,54.5,252,1.39,14,71,3.9,40,1,0,4,1,0,89.5,5,1,0,31,1,0,15.2,0,20,19,10.5,0,0,0,0,0,0,0,0,0
900, Steve Sanders, Steve Sanders2008,CLV,2008,60,-0.8,-0.9,0,0,0.1,40,4,1,25,18,0.45,18,0,0,18,0,0,0,0,0,45.8,0,0,0,0,0,0,0,0,0,12,30,2,16.7,1,0,18,1.5,0,0,50
901, Bryant Johnson, Bryant Johnson2008,SF,2008,787,-0.9,-2.2,0,0.4,0.9,495,68,45,66.2,546,1.1,12.1,161,3.6,42,3,2,4,1,0,93.1,9,3,0,74,3,0,13.4,0,33.3,238,48.1,20,8.4,14,1,172,0.72,0,6.67,70
902, Roscoe Parrish, Roscoe Parrish2008,BUF,2008,380,-0.9,-3.7,-0.4,1.9,1.3,265,42,24,57.1,232,0.88,9.7,79,3.3,22,2,1,2,3,0,78.7,4,0,0,0,0,0,9.5,0,0,135,50.9,27,20,17,0,187,1.39,2,0,63
