#,Name,NameYear,Year,Team,Position,Snaps,Overall Rating,Pass Block Rating,Screen Block Rating,Run Block Rating,Penalty Rating,# of Pen,QB Sk,QB Ht,QB Hu,Passing Plays,Pass Block Snaps,Pass Block %,Sacks Allowed,Hits Allowed,Hurries Allowed,Total Pressure Allowed,PBE
36, T.J. Lang, T.J. Lang2012,2012,GB,G,788,2.3,4.9,1.5,-4.4,0.3,1-Mar,6,2,8,476,475,99.8,6,2,8,16,97.2
37, Jason Pinkston, Jason Pinkston2012,2012,CLV,G,342,2.2,0.6,1,-1,1.6,0-0,0,3,3,221,221,100,0,3,3,6,98
38, Daniel Kilgore, Daniel Kilgore2012,2012,SF,G,25,2.1,0.1,0,3,-1,Jan-00,0,0,0,6,1,16.7,0,0,0,0,100
39, Ramon Foster, Ramon Foster2012,2012,PIT,G,1026,2,9.4,0,-8,0.6,2-Apr,2,2,13,587,586,99.8,2,2,13,17,97.7
40, Eric Winston, Eric Winston2012,2012,KC,G,62,1.9,0,0,1.6,0.3,0-0,1,0,0,35,35,100,1,0,0,1,97.1
41, Lucas Nix, Lucas Nix2012,2012,OAK,G,27,1.8,0.7,0,1,0.1,0-0,0,0,0,15,15,100,0,0,0,0,100
41, Fernando Velasco, Fernando Velasco2012,2012,TEN,G,182,1.8,3.7,0,0.3,-2.2,Mar-00,0,0,0,88,88,100,0,0,0,0,100
43, Jim Cordle, Jim Cordle2012,2012,NYG,G,32,1.7,0.6,0,1,0.1,0-0,0,0,0,16,15,93.8,0,0,0,0,100
43, Brandon Brooks, Brandon Brooks2012,2012,HST,G,111,1.7,1.7,0,0.5,-0.5,Jan-00,1,0,0,66,66,100,1,0,0,1,98.5
45, Tony Bergstrom, Tony Bergstrom2012,2012,OAK,G,62,1.6,-0.2,0,0.6,1.2,Jan-00,0,2,0,30,30,100,0,2,0,2,95
46, Willie Colon, Willie Colon2012,2012,PIT,G,727,1.3,4.6,-1,6,-8.3,2-Dec,4,2,7,416,415,99.8,4,2,7,13,97.4
47, Uche Nwaneri, Uche Nwaneri2012,2012,JAX,G,943,1.2,-5.8,0.5,5.4,1.1,Mar-00,5,6,18,568,568,100,5,6,18,29,96
48, Colin Brown, Colin Brown2012,2012,BUF,G,19,1.1,0.5,0,0.5,0.1,0-0,0,0,0,12,12,100,0,0,0,0,100
48, Garrett Reynolds, Garrett Reynolds2012,2012,ATL,G,400,1.1,0.3,0,0.1,0.7,1-Feb,0,3,9,258,258,100,0,3,9,12,96.5
50, Stephen Peterman, Stephen Peterman2012,2012,DET,G,1230,0.8,-8.4,1.5,5.3,2.4,Apr-00,5,4,36,789,789,100,5,4,36,45,95.6
51, Gino Gradkowski, Gino Gradkowski2012,2012,BLT,G,16,0.7,0.2,0,0.5,0,0-0,0,0,0,4,4,100,0,0,0,0,100
52, Josh Samuda, Josh Samuda2012,2012,MIA,G,6,0.6,0.1,0,0.5,0,0-0,0,0,0,3,3,100,0,0,0,0,100
53, Vladimir Ducasse, Vladimir Ducasse2012,2012,NYJ,G,284,0.5,-1.4,0.5,1.1,0.3,Jan-00,2,1,6,156,156,100,2,1,6,9,95.4
53, David Snow, David Snow2012,2012,BUF,G,8,0.5,0,0,0.5,0,0-0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
55, Sam Young, Sam Young2012,2012,BUF,G,48,0.4,1.2,0,-1,0.2,0-0,0,0,0,28,28,100,0,0,0,0,100
55, James Brewer, James Brewer2012,2012,NYG,G,19,0.4,0.4,0,0,0,0-0,0,0,0,9,9,100,0,0,0,0,100
55, Cody Wallace, Cody Wallace2012,2012,TB,G,15,0.4,0.4,0,0,0,0-0,0,0,0,10,10,100,0,0,0,0,100
58, Evan Dietrich-Smith, Evan Dietrich-Smith2012,2012,GB,G,320,0.3,-2.7,0.5,6.1,-3.6,May-00,2,2,5,157,157,100,2,2,5,9,95.4
59, Rex Hadnot, Rex Hadnot2012,2012,SD,G,306,0.2,0.8,0,-2,1.4,0-0,2,1,5,187,187,100,2,1,5,8,96.5
60, Mike Johnson, Mike Johnson2012,2012,ATL,G,59,0.1,0.4,0,-0.4,0.1,0-0,0,0,0,10,6,60,0,0,0,0,100
60, Tony Hills, Tony Hills2012,2012,IND,G,4,0.1,0.1,0,0,0,0-0,0,0,0,3,3,100,0,0,0,0,100
62, Joe Hawley, Joe Hawley2012,2012,ATL,G,2,0,0,0,0,0,0-0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
62, Mitch Petrus, Mitch Petrus2012,2012,NE,G,6,0,0,0,0,0,0-0,0,0,0,1,1,100,0,0,0,0,100
62, Matt Tennant, Matt Tennant2012,2012,PHI,G,1,0,0,0,0,0,0-0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
62, Thomas Welch, Thomas Welch2012,2012,BUF,G,1,0,0,0,0,0,0-0,0,0,0,1,1,100,0,0,0,0,100
62, Tim Barnes, Tim Barnes2012,2012,SL,G,1,0,0,0,0,0,0-0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
62, Donald Stephenson, Donald Stephenson2012,2012,KC,G,2,0,0,0,0,0,0-0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
62, Nate Potter, Nate Potter2012,2012,ARZ,G,1,0,0,0,0,0,0-0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
62, Don Barclay, Don Barclay2012,2012,GB,G,1,0,0,0,0,0,0-0,0,0,0,1,1,100,0,0,0,0,100
62, Joe Berger, Joe Berger2012,2012,MIN,G,3,0,0,0,0,0,0-0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
62, Roger Allen, Roger Allen2012,2012,TB,G,1,0,0,0,0,0,0-0,0,0,0,1,1,100,0,0,0,0,100
62, C.J. Davis, C.J. Davis2012,2012,DEN,G,3,0,0,0,0,0,0-0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
62, Garry Williams, Garry Williams2012,2012,CAR,G,459,0,-3.4,0.5,1.9,1,Jan-00,0,2,13,238,238,100,0,2,13,15,95.3
74, Josh LeRibeus, Josh LeRibeus2012,2012,WAS,G,22,-0.1,-0.8,0,0.6,0.1,0-0,0,0,0,5,5,100,0,0,0,0,100
74, A.Q. Shipley, A.Q. Shipley2012,2012,IND,G,19,-0.1,-0.2,0,0,0.1,0-0,0,0,1,19,19,100,0,0,1,1,96.1
76, Austin Pasztor, Austin Pasztor2012,2012,JAX,G,219,-0.2,-1,0,1.8,-1,Feb-00,1,2,5,142,142,100,1,2,5,8,95.6
76, Trai Essex, Trai Essex2012,2012,IND,G,91,-0.2,2.2,0.5,-1.3,-1.6,Feb-00,0,0,1,52,52,100,0,0,1,1,98.6
78, Cooper Carlisle, Cooper Carlisle2012,2012,OAK,G,1104,-0.3,3.5,1.5,-7.2,1.9,1-May,1,8,18,667,667,100,1,8,18,27,96.9
78, Russ Hochstein, Russ Hochstein2012,2012,KC,G,57,-0.3,-0.6,0,0.1,0.2,0-0,0,1,3,33,33,100,0,1,3,4,90.9
78, Tyronne Green, Tyronne Green2012,2012,SD,G,756,-0.3,0.4,0,-1.6,0.9,Mar-00,2,0,15,401,401,100,2,0,15,17,96.7
81, Ramon Harewood, Ramon Harewood2012,2012,BLT,G,352,-0.4,-5.5,0.5,3,1.6,0-0,1,2,12,203,203,100,1,2,12,15,94.3
82, Bruce Campbell, Bruce Campbell2012,2012,CAR,G,22,-0.5,-0.7,0,0.1,0.1,0-0,0,0,1,7,7,100,0,0,1,1,89.3
82, Mitch Petrus, Mitch Petrus2012,2012,NYG,G,14,-0.5,0,0,-0.5,0,0-0,0,0,0,1,1,100,0,0,0,0,100
82, Selvish Capers, Selvish Capers2012,2012,NYG,G,8,-0.5,0,0,-0.5,0,0-0,0,0,0,1,1,100,0,0,0,0,100
82, Derek Hardman, Derek Hardman2012,2012,TB,G,37,-0.5,-0.2,0,0,-0.3,Jan-00,0,2,1,31,31,100,0,2,1,3,92.7
82, Maurice Hurt, Maurice Hurt2012,2012,WAS,G,6,-0.5,0,0,-0.5,0,0-0,0,0,0,1,1,100,0,0,0,0,100
82, Bradley Sowell, Bradley Sowell2012,2012,IND,G,7,-0.5,0,0,-0.5,0,0-0,0,0,0,1,1,100,0,0,0,0,100
82, Greg Van Roten, Greg Van Roten2012,2012,GB,G,18,-0.5,0,0,-0.5,0,0-0,0,0,0,2,2,100,0,0,0,0,100
82, Jeremy Zuttah, Jeremy Zuttah2012,2012,TB,G,591,-0.5,1.8,1,-2,-1.3,1-Apr,0,1,13,346,346,100,0,1,13,14,97
90, Jeff Byers, Jeff Byers2012,2012,CAR,G,260,-0.6,-5.1,0.5,4,0,Jan-00,0,2,7,141,141,100,0,2,7,9,95.2
90, Marcus Cannon, Marcus Cannon2012,2012,NE,G,12,-0.6,-0.7,0,0,0.1,0-0,0,1,0,7,7,100,0,1,0,1,89.3
90, Pat McQuistan, Pat McQuistan2012,2012,ARZ,G,144,-0.6,-1.9,0,0.7,0.6,0-0,1,2,2,85,84,98.8,1,2,2,5,95.2
93, David Molk, David Molk2012,2012,SD,G,11,-0.8,0.2,0,-1,0,0-0,0,0,0,4,4,100,0,0,0,0,100
93, Jeremy Bridges, Jeremy Bridges2012,2012,CAR,G,32,-0.8,0.6,0,-0.5,-0.9,Jan-00,0,0,0,15,15,100,0,0,0,0,100
93, Daryn Colledge, Daryn Colledge2012,2012,ARZ,G,1078,-0.8,7.4,0,-6.9,-1.3,1-Jul,4,3,14,677,676,99.9,4,3,14,21,97.5
93, Justin Blalock, Justin Blalock2012,2012,ATL,G,1073,-0.8,1.2,3,-7.7,2.7,Feb-00,1,9,20,663,663,100,1,9,20,30,96.6
97, Steve Vallos, Steve Vallos2012,2012,JAX,G,76,-1,-1.4,0,1.1,-0.7,Jan-00,0,2,1,51,51,100,0,2,1,3,95.6
98, Bryan Mattison, Bryan Mattison2012,2012,KC,G,80,-1.3,-2.3,0,0.6,0.4,0-0,1,1,2,40,40,100,1,1,2,4,91.9
99, Byron Bell, Byron Bell2012,2012,CAR,G,65,-1.4,-1.8,0,0.1,0.3,0-0,0,3,1,41,41,100,0,3,1,4,92.7
100, Nick McDonald, Nick McDonald2012,2012,NE,G,248,-1.5,-2.4,0,-0.1,1,0-0,1,3,4,123,122,99.2,1,3,4,8,94.9
101, John Malecki, John Malecki2012,2012,PIT,G,31,-1.7,0.6,0.5,-2.9,0.1,0-0,0,0,0,14,14,100,0,0,0,0,100
102, Lance Louis, Lance Louis2012,2012,CHI,G,712,-1.8,5.7,-0.5,-8,1,Feb-00,2,2,7,369,369,100,2,2,7,11,97.6
103, Eric Olsen, Eric Olsen2012,2012,NO,G,161,-1.9,-2.6,0,1.9,-1.2,1-Feb,0,1,5,49,47,95.9,0,1,5,6,90.4
103, Chris Williams, Chris Williams2012,2012,SL,G,59,-1.9,-0.9,0,-0.3,-0.7,Jan-00,0,1,1,28,28,100,0,1,1,2,94.6
105, Ryan Miller, Ryan Miller2012,2012,CLV,G,11,-2.1,-2.1,0,0,0,0-0,2,0,1,11,11,100,2,0,1,3,75
106, Steve Hutchinson, Steve Hutchinson2012,2012,TEN,G,709,-2.3,-0.9,-0.5,-2,1.1,Feb-00,4,3,15,447,447,100,4,3,15,22,96.1
107, Thomas Austin, Thomas Austin2012,2012,CAR,G,49,-2.6,0.1,0.5,-3.4,0.2,0-0,0,0,1,27,27,100,0,0,1,1,97.2
107, Herbert Taylor, Herbert Taylor2012,2012,JAX,G,46,-2.6,-1.9,-0.5,1.1,-1.3,Feb-00,1,0,2,25,25,100,1,0,2,3,90
109, John Jerry, John Jerry2012,2012,MIA,G,1054,-2.7,3.8,0.5,-8.8,1.8,Mar-00,2,3,15,555,555,100,2,3,15,20,97.2
110, David DeCastro, David DeCastro2012,2012,PIT,G,138,-2.8,-2.6,0,-0.8,0.6,0-0,3,0,3,81,81,100,3,0,3,6,93.5
111, Edwin Williams, Edwin Williams2012,2012,CHI,G,155,-2.9,1.1,0,-4.8,0.8,0-0,0,0,3,83,83,100,0,0,3,3,97.3
112, Senio Kelemete, Senio Kelemete2012,2012,ARZ,G,43,-3,-1.3,0,-1.4,-0.3,Jan-00,1,1,0,28,28,100,1,1,0,2,93.8
113, Kevin Matthews, Kevin Matthews2012,2012,TEN,G,141,-3.1,-3.3,0,1.1,-0.9,1-Mar,1,1,2,82,82,100,1,1,2,4,96
113, Alex Parsons, Alex Parsons2012,2012,OAK,G,49,-3.1,-2.4,0,-0.9,0.2,0-0,0,1,2,26,26,100,0,1,2,3,91.3
115, Nate Garner, Nate Garner2012,2012,MIA,G,18,-3.2,-1.7,0,-1.5,0,0-0,0,0,2,8,6,75,0,0,2,2,75
116, Rich Ohrnberger, Rich Ohrnberger2012,2012,ARZ,G,189,-3.3,-0.4,0,-0.7,-2.2,Mar-00,0,3,4,136,136,100,0,3,4,7,96.1
117, Rokevious Watkins, Rokevious Watkins2012,2012,SL,G,37,-3.4,-2.7,0,0.1,-0.8,Jan-00,1,1,0,20,20,100,1,1,0,2,91.3
118, Chris Spencer, Chris Spencer2012,2012,CHI,G,350,-4,-9.2,0.5,4.2,0.5,Jan-00,2,4,6,172,172,100,2,4,6,12,94.5
118, Mackenzy Bernadeau, Mackenzy Bernadeau2012,2012,DAL,G,963,-4,-6.4,0.5,-0.4,2.3,Feb-00,5,2,21,582,582,100,5,2,21,28,96.2
120, Maurkice Pouncey, Maurkice Pouncey2012,2012,PIT,G,133,-4.1,-3.4,0,-1.3,0.6,0-0,1,2,5,87,87,100,1,2,5,8,92.8
121, Jah Reid, Jah Reid2012,2012,BLT,G,586,-4.6,-0.9,0,-2.3,-1.4,Apr-00,1,2,13,300,296,98.7,1,2,13,16,95.9
121, Jake Scott, Jake Scott2012,2012,PHI,G,474,-4.6,-3.4,3,0.7,-4.9,2-Jul,2,1,13,302,302,100,2,1,13,16,95.9
123, Danny Watkins, Danny Watkins2012,2012,PHI,G,461,-4.7,-6.6,0.5,0.3,1.1,2-Feb,1,6,9,275,275,100,1,6,9,16,95.5
124, Jeff Linkenbach, Jeff Linkenbach2012,2012,IND,G,439,-4.8,-3.7,0,-2.3,1.2,Jan-00,0,5,11,255,255,100,0,5,11,16,95.3
124, Leonard Davis, Leonard Davis2012,2012,SF,G,131,-4.8,-4,0,0.7,-1.5,Feb-00,1,1,3,38,34,89.5,1,1,3,5,88.2
126, Derrick Dockery, Derrick Dockery2012,2012,DAL,G,180,-5,-2,0,-2.8,-0.2,Jan-00,1,0,4,127,127,100,1,0,4,5,96.9
127, Mitch Petrus, Mitch Petrus2012,2012,TEN,G,38,-5.3,-2.1,0,-2.9,-0.3,1-Jan,0,0,3,1,1,100,0,0,0,0,100
128, Shelley Smith, Shelley Smith2012,2012,SL,G,360,-5.6,-4.2,0.5,1.1,-3,Jun-00,3,4,4,211,211,100,3,4,4,11,95.7
128, Dennis Kelly, Dennis Kelly2012,2012,PHI,G,226,-5.6,-5.5,-0.5,-0.7,1.1,0-0,2,3,5,140,140,100,2,3,5,10,94.3
130, Paul McQuistan, Paul McQuistan2012,2012,SEA,G,1029,-5.7,-0.9,0.5,-5,-0.3,2-Jun,1,1,20,481,481,100,1,1,20,22,96.5
131, Ben Jones, Ben Jones2012,2012,HST,G,702,-5.8,-6.2,0,0.3,0.1,1-Mar,4,6,11,354,354,100,4,6,11,21,95.3
132, Ted Larsen, Ted Larsen2012,2012,TB,G,246,-5.9,-1.5,0.5,-3,-1.9,Mar-00,0,2,7,131,131,100,0,2,7,9,94.8
132, John Moffitt, John Moffitt2012,2012,SEA,G,418,-5.9,1,0.5,-5.6,-1.8,Apr-00,0,3,4,178,178,100,0,3,4,7,97.1
132, Deuce Lutui, Deuce Lutui2012,2012,TEN,G,512,-5.9,-4.1,0,-1.1,-0.7,2-Apr,0,2,16,296,296,100,0,2,16,18,95.4
135, James Brown, James Brown2012,2012,CHI,G,220,-6.4,-2.7,0,-2.7,-1,1-Feb,2,1,4,113,113,100,2,1,4,7,94.9
135, Kory Lichtensteiger, Kory Lichtensteiger2012,2012,WAS,G,982,-6.4,6.6,1.5,-12.7,-1.8,Aug-00,1,4,12,513,513,100,1,5,14,20,97
137, Shawn Lauvao, Shawn Lauvao2012,2012,CLV,G,1064,-6.8,-1.9,0,-4.1,-0.8,1-Aug,3,9,15,618,618,100,3,9,15,27,96.6
137, Charlie Johnson, Charlie Johnson2012,2012,MIN,G,1053,-6.8,-1,0.5,-4.9,-1.4,Jun-00,1,8,17,556,555,99.8,1,8,17,26,96.4
139, Leroy Harris, Leroy Harris2012,2012,TEN,G,449,-7.2,-9.3,-0.5,2.6,0,Feb-00,5,5,9,283,283,100,5,5,9,19,94.5
140, James Carpenter, James Carpenter2012,2012,SEA,G,352,-7.6,-2.4,-0.5,-5.4,0.7,Jan-00,3,1,5,182,182,100,3,1,5,9,95.9
141, Geoff Hangartner, Geoff Hangartner2012,2012,CAR,G,240,-8,-1.1,0,-7,0.1,Jan-00,1,2,6,128,128,100,1,2,6,9,94.5
141, Robert Turner, Robert Turner2012,2012,SL,G,471,-8,0.6,1,-7.7,-1.9,May-00,1,2,8,268,268,100,1,2,8,11,96.8
143, Antoine Caldwell, Antoine Caldwell2012,2012,HST,G,355,-8.1,-3.4,0,-5.3,0.6,Jan-00,2,1,9,170,170,100,2,1,9,12,94.4
144, Doug Legursky, Doug Legursky2012,2012,PIT,G,171,-8.2,-5.3,0.5,-2.2,-1.2,Feb-00,3,2,4,95,95,100,3,2,4,9,92.1
145, Joe Reitz, Joe Reitz2012,2012,IND,G,479,-9.1,-5.5,0,-3.7,0.1,Feb-00,0,5,13,275,274,99.6,0,5,13,18,95.1
146, Jamon Meredith, Jamon Meredith2012,2012,TB,G,813,-9.4,-6.5,0.5,-4.1,0.7,1-Mar,2,7,20,471,471,100,2,7,20,29,95.3
147, Quinn Ojinnaka, Quinn Ojinnaka2012,2012,SL,G,328,-9.5,-10.4,0,1,-0.1,Feb-00,3,4,11,184,184,100,3,4,11,18,92.3
148, Bobbie Williams, Bobbie Williams2012,2012,BLT,G,366,-9.6,-2.5,-0.5,-4.3,-2.3,Apr-00,3,1,7,196,192,98,3,1,7,11,95.3
149, J.R. Sweezy, J.R. Sweezy2012,2012,SEA,G,311,-10.6,-3.6,0,-6.9,-0.1,1-Mar,1,1,8,133,133,100,1,1,8,10,94.2
150, Brandon Fusco, Brandon Fusco2012,2012,MIN,G,899,-11.9,-13.6,0.5,-2.7,3.9,0-0,4,6,22,478,477,99.8,4,6,22,32,94.8
150, Seth Olsen, Seth Olsen2012,2012,IND,G,289,-11.9,-7.6,0,-3.6,-0.7,Feb-00,0,3,13,176,176,100,0,3,13,16,93.2
152, Mike Brisiel, Mike Brisiel2012,2012,OAK,G,988,-12,-3,2.5,-7.4,-4.1,1-Oct,1,4,26,602,602,100,1,4,26,31,96.1
153, Chilo Rachal, Chilo Rachal2012,2012,CHI,G,528,-12.1,-1,0,-5.4,-5.7,1-Aug,2,0,10,274,274,100,2,0,10,12,96.5
154, Peter Konz, Peter Konz2012,2012,ATL,G,677,-12.4,-10.6,0.5,-5.3,3,0-0,5,7,13,406,405,99.8,5,7,13,25,95.1
155, Amini Silatolu, Amini Silatolu2012,2012,CAR,G,904,-16.7,-11.3,0.5,-2.3,-3.6,2-Aug,4,8,19,485,485,100,4,8,19,31,95
156, Eben Britton, Eben Britton2012,2012,JAX,G,273,-17.2,-13.3,0,-3.1,-0.8,Feb-00,5,3,12,159,159,100,5,3,12,20,89.8
157, Adam Snyder, Adam Snyder2012,2012,ARZ,G,705,-18.2,-9,0,-10.4,1.2,Feb-00,4,6,15,428,428,100,4,6,15,25,95.4
158, Jeff Allen, Jeff Allen2012,2012,KC,G,795,-18.8,-6.9,0,-11.9,0,1-May,2,6,13,382,382,100,2,6,13,21,95.7
159, Mike Brewster, Mike Brewster2012,2012,JAX,G,556,-20.7,-14.4,0.5,-6.7,-0.1,1-Apr,2,8,17,343,343,100,2,8,17,27,94
160, Mike McGlynn, Mike McGlynn2012,2012,IND,G,1118,-23.3,-13.9,0.5,-12.7,2.8,1-Feb,4,9,32,668,668,100,4,9,32,45,94.8
1, Evan Mathis, Evan Mathis2011,2011,PHI,G,1025,40,11.7,2,24.8,1.5,1-Apr,0,3,12,600,600,100,0,3,12,15,98.1
2, Carl Nicks, Carl Nicks2011,2011,NO,G,1177,34,17.5,2,11.4,3.1,Feb-00,2,2,8,700,700,100,2,2,8,12,98.6
3, Marshal Yanda, Marshal Yanda2011,2011,BLT,G,1067,33,16.6,1.5,12,2.9,Feb-00,2,1,6,571,571,100,2,1,6,9,98.7
4, Brian Waters, Brian Waters2011,2011,NE,G,1139,25.9,18.4,2,5.5,0,1-May,2,3,7,644,644,100,2,3,7,12,98.5
5, Josh Sitton, Josh Sitton2011,2011,GB,G,885,19.2,14.4,0,7.9,-3.1,1-Jul,2,1,6,526,526,100,2,1,6,9,98.6
6, Andy Levitre, Andy Levitre2011,2011,BUF,G,812,18.5,10.5,4.5,2.4,1.1,3-Apr,4,1,7,485,485,100,4,1,7,12,97.9
7, Jake Scott, Jake Scott2011,2011,TEN,G,1045,18.2,12.2,-0.5,4.9,1.6,Mar-00,2,1,11,619,619,100,2,1,11,14,98.2
8, Steve Hutchinson, Steve Hutchinson2011,2011,MIN,G,907,17.5,9.9,2,4.5,1.1,1-Apr,2,1,9,514,514,100,2,1,9,12,98.2
9, Mike Iupati, Mike Iupati2011,2011,SF,G,1061,16.1,5.6,0,9.6,0.9,Apr-00,3,4,11,517,517,100,3,4,11,18,97.2
9, Chad Rinehart, Chad Rinehart2011,2011,BUF,G,868,16.1,10.8,0.5,4.9,-0.1,Apr-00,0,2,8,537,537,100,0,2,8,10,98.6
11, Jahri Evans, Jahri Evans2011,2011,NO,G,1139,15.8,3.1,1.5,11.2,0,1-May,2,2,26,692,692,100,2,2,26,30,96.7
12, Brandon Moore, Brandon Moore2011,2011,NYJ,G,1116,11.3,11.9,1.5,-2.1,0,May-00,0,0,14,605,604,99.8,0,0,14,14,98.3
12, Rob Sims, Rob Sims2011,2011,DET,G,1143,11.3,12,-0.5,-2.3,2.1,Mar-00,1,8,11,714,714,100,1,8,11,20,97.9
14, Ben Grubbs, Ben Grubbs2011,2011,BLT,G,677,11.2,4.5,1,4.5,1.2,Feb-00,4,2,6,333,333,100,4,2,6,12,97
15, Leroy Harris, Leroy Harris2011,2011,TEN,G,1018,11.1,10.2,0.5,0.9,-0.5,May-00,2,6,8,609,609,100,2,6,8,16,97.9
16, Stephen Peterman, Stephen Peterman2011,2011,DET,G,1143,9.3,10,3,-3.8,0.1,1-May,2,4,13,714,714,100,2,4,13,19,97.9
17, Jon Asamoah, Jon Asamoah2011,2011,KC,G,1085,8.9,13.5,1,-6.9,1.3,1-Apr,2,2,8,554,554,100,2,2,8,12,98.3
18, Kraig Urbik, Kraig Urbik2011,2011,BUF,G,469,8.7,8.6,2.5,-3.5,1.1,Feb-00,0,0,2,248,248,100,0,0,2,2,99.4
19, Kris Dielman, Kris Dielman2011,2011,SD,G,432,8.6,6,0,0.7,1.9,0-0,0,1,4,238,238,100,0,1,4,5,98.4
20, Montrae Holland, Montrae Holland2011,2011,DAL,G,641,8.5,4,1.5,5.2,-2.2,May-00,2,1,9,348,348,100,2,1,9,12,97.3
21, T.J. Lang, T.J. Lang2011,2011,GB,G,950,7.8,11.5,0.5,-1.5,-2.7,Jul-00,2,1,8,559,559,100,2,1,8,11,98.4
22, Joe Berger, Joe Berger2011,2011,MIN,G,401,7.5,1.5,-0.5,6.2,0.3,1-Feb,1,1,8,229,229,100,1,1,8,10,96.6
23, Uche Nwaneri, Uche Nwaneri2011,2011,JAX,G,1058,7.2,0.4,1.5,4.2,1.1,2-Apr,2,4,13,538,537,99.8,2,4,13,19,97.3
24, Jeremy Zuttah, Jeremy Zuttah2011,2011,TB,G,840,7,5.8,1,4.3,-4.1,1-Aug,2,4,15,508,508,100,2,4,15,21,96.8
25, Ryan Lilja, Ryan Lilja2011,2011,KC,G,956,6.8,1.6,1,0.9,3.3,Jan-00,2,3,16,484,484,100,2,3,16,21,96.6
26, Geoff Hangartner, Geoff Hangartner2011,2011,CAR,G,1072,6.2,-2.3,2,3.9,2.6,Feb-00,2,5,21,603,603,100,2,5,21,28,96.4
27, Logan Mankins, Logan Mankins2011,2011,NE,G,1003,5.4,0.7,1,5.8,-2.1,1-Jul,4,4,15,564,564,100,4,4,15,23,96.8
28, Bobbie Williams, Bobbie Williams2011,2011,CIN,G,575,5,1.4,1.5,4.5,-2.4,1-May,1,3,5,304,304,100,1,3,5,9,97.7
29, Justin Blalock, Justin Blalock2011,2011,ATL,G,1147,4.9,8.6,0,-6.8,3.1,2-Mar,1,4,16,635,635,100,1,4,16,21,97.5
30, Louis Vasquez, Louis Vasquez2011,2011,SD,G,914,4.6,4.1,-0.5,-3,4,0-0,1,1,14,506,506,100,1,1,14,16,97.6
31, Kory Lichtensteiger, Kory Lichtensteiger2011,2011,WAS,G,291,4.2,2.8,2.5,-2.4,1.3,0-0,1,0,3,158,158,100,1,0,3,4,97.9
32, Mackenzy Bernadeau, Mackenzy Bernadeau2011,2011,CAR,G,124,4.1,0.9,0.5,2.2,0.5,0-0,0,1,1,58,58,100,0,1,1,2,97.4
33, Ramon Foster, Ramon Foster2011,2011,PIT,G,932,4,4.5,0,-1.6,1.1,Mar-00,3,1,15,503,503,100,3,1,15,19,97
34, Mike Brisiel, Mike Brisiel2011,2011,HST,G,906,3.9,1.7,1,5.1,-3.9,Aug-00,1,2,13,423,423,100,1,2,13,16,97.1
35, Mike Pollak, Mike Pollak2011,2011,IND,G,595,3.7,3.2,1,-2.3,1.8,Jan-00,1,5,6,359,359,100,1,5,6,12,97.4
36, Harvey Dahl, Harvey Dahl2011,2011,SL,G,711,3.6,1.8,1.5,0.7,-0.4,1-Apr,1,2,12,417,417,100,1,2,12,15,97.2
37, Richie Incognito, Richie Incognito2011,2011,MIA,G,946,3.3,2.7,0,5.3,-4.7,2-Sep,3,5,9,495,495,100,3,5,9,17,97.3
38, Edwin Williams, Edwin Williams2011,2011,CHI,G,503,3.2,1.5,0.5,0,1.2,Jan-00,0,2,11,257,257,100,0,2,11,13,96.2
39, Antoine Caldwell, Antoine Caldwell2011,2011,HST,G,194,2.8,0.7,0,2.3,-0.2,Jan-00,2,0,1,90,90,100,2,0,1,3,96.9
39, Matt Slauson, Matt Slauson2011,2011,NYJ,G,1128,2.8,-0.1,0,0.9,2,Mar-00,4,7,13,605,604,99.8,4,7,13,24,96.9
39, John Jerry, John Jerry2011,2011,MIA,G,180,2.8,0.6,0,2.4,-0.2,Jan-00,1,0,3,85,85,100,1,0,3,4,96.2
42, Ryan Wendell, Ryan Wendell2011,2011,NE,G,79,2.3,0.9,0,1.1,0.3,0-0,0,0,1,44,44,100,0,0,1,1,98.3
43, Travelle Wharton, Travelle Wharton2011,2011,CAR,G,958,1.7,-7.6,1,5.2,3.1,Jan-00,2,3,27,548,548,100,2,3,27,32,95.5
44, Donald Thomas, Donald Thomas2011,2011,NE,G,93,1.6,-0.4,0,1.6,0.4,0-0,1,0,2,55,55,100,1,0,2,3,95.5
44, Nate Garner, Nate Garner2011,2011,MIA,G,126,1.6,1.4,0,-0.2,0.4,0-0,1,0,0,58,56,96.6,1,0,0,1,98.2
44, Fernando Velasco, Fernando Velasco2011,2011,TEN,G,27,1.6,0.4,0,1.1,0.1,0-0,0,0,0,10,10,100,0,0,0,0,100
